Year,Team,MeasureName,MeasureType,MeasureValue
2016,Delhi Capitals,WicketsPerMatch,Bowling,4.5
2015,Delhi Capitals,WicketsPerMatch,Bowling,5.142857143
2014,Delhi Capitals,WicketsPerMatch,Bowling,3.642857143
2019,Delhi Capitals,Innings,Batting,9
2018,Delhi Capitals,Innings,Batting,7.076923077
2017,Delhi Capitals,Innings,Batting,8
2016,Delhi Capitals,Innings,Batting,8.090909091
2015,Delhi Capitals,Innings,Batting,8.363636364
2014,Delhi Capitals,Innings,Batting,7.538461538
2019,Delhi Capitals,NotOuts,Batting,1.785714286
2018,Delhi Capitals,NotOuts,Batting,1.615384615
2017,Delhi Capitals,NotOuts,Batting,1.5
2016,Delhi Capitals,NotOuts,Batting,1.727272727
2015,Delhi Capitals,NotOuts,Batting,2
2014,Delhi Capitals,NotOuts,Batting,1.384615385
2019,Delhi Capitals,HighScore ,Batting,171.2142857
2018,Delhi Capitals,HighScore ,Batting,171.8461538
2017,Delhi Capitals,HighScore ,Batting,150.0714286
2016,Delhi Capitals,HighScore ,Batting,178.3636364
2015,Delhi Capitals,HighScore ,Batting,185.5454545
2014,Delhi Capitals,HighScore ,Batting,151
2019,Delhi Capitals,RunsScored,Batting,149.8125
2018,Delhi Capitals,RunsScored,Batting,159.5714286
2017,Delhi Capitals,RunsScored,Batting,150.0714286
2016,Delhi Capitals,RunsScored,Batting,140.1428571
2015,Delhi Capitals,RunsScored,Batting,145.7857143
2014,Delhi Capitals,RunsScored,Batting,140.2142857
2019,Delhi Capitals,BallsFaced,Batting,114.0625
2018,Delhi Capitals,BallsFaced,Batting,108.7857143
2017,Delhi Capitals,BallsFaced,Batting,111.2857143
2016,Delhi Capitals,BallsFaced,Batting,109.2142857
2015,Delhi Capitals,BallsFaced,Batting,113
2014,Delhi Capitals,BallsFaced,Batting,114.4285714
2019,Delhi Capitals,StrikeRate,Batting,131.8185714
2018,Delhi Capitals,StrikeRate,Batting,143.5338462
2017,Delhi Capitals,StrikeRate,Batting,124.8657143
2016,Delhi Capitals,StrikeRate,Batting,130.0454545
2015,Delhi Capitals,StrikeRate,Batting,128.6390909
2014,Delhi Capitals,StrikeRate,Batting,111.7953846
2019,Delhi Capitals,100s,Batting,0
2018,Delhi Capitals,100s,Batting,0.071428571
2017,Delhi Capitals,100s,Batting,0.071428571
2016,Delhi Capitals,100s,Batting,0.071428571
2015,Delhi Capitals,100s,Batting,0
2014,Delhi Capitals,100s,Batting,0
2019,Delhi Capitals,50s,Batting,0.8125
2018,Delhi Capitals,50s,Batting,1
2017,Delhi Capitals,50s,Batting,0.642857143
2016,Delhi Capitals,50s,Batting,0.714285714
2015,Delhi Capitals,50s,Batting,1.142857143
2014,Delhi Capitals,50s,Batting,0.571428571
2019,Delhi Capitals,4s,Batting,14.6875
2018,Delhi Capitals,4s,Batting,13.21428571
2017,Delhi Capitals,4s,Batting,14.21428571
2016,Delhi Capitals,4s,Batting,12.57142857
2015,Delhi Capitals,4s,Batting,13.42857143
2014,Delhi Capitals,4s,Batting,12.64285714
2019,Delhi Capitals,6s,Batting,5.375
2018,Delhi Capitals,6s,Batting,8.214285714
2017,Delhi Capitals,6s,Batting,6.214285714
2016,Delhi Capitals,6s,Batting,4.642857143
2015,Delhi Capitals,6s,Batting,6
2014,Delhi Capitals,6s,Batting,4.5
2019,Delhi Capitals,MatchesWon,Batting,9
2018,Delhi Capitals,MatchesWon,Batting,5
2017,Delhi Capitals,MatchesWon,Batting,6
2016,Delhi Capitals,MatchesWon,Batting,7
2015,Delhi Capitals,MatchesWon,Batting,5
2014,Delhi Capitals,MatchesWon,Batting,2
2008,Delhi Capitals,MatchesWon,Batting,7
2009,Delhi Capitals,MatchesWon,Batting,10
2010,Delhi Capitals,MatchesWon,Batting,7
2011,Delhi Capitals,MatchesWon,Batting,4
2012,Delhi Capitals,MatchesWon,Batting,11
2013,Delhi Capitals,MatchesWon,Batting,3
2008,Delhi Capitals,100s,Batting,0
2009,Delhi Capitals,100s,Batting,0
2010,Delhi Capitals,100s,Batting,0.071428571
2011,Delhi Capitals,100s,Batting,0.071428571
2012,Delhi Capitals,100s,Batting,0.111111111
2013,Delhi Capitals,100s,Batting,0
2008,Delhi Capitals,4s,Batting,15.5
2009,Delhi Capitals,4s,Batting,11.78571429
2010,Delhi Capitals,4s,Batting,13.42857143
2011,Delhi Capitals,4s,Batting,12.28571429
2012,Delhi Capitals,4s,Batting,12.83333333
2013,Delhi Capitals,4s,Batting,12.8125
2008,Delhi Capitals,6s,Batting,3.857142857
2009,Delhi Capitals,6s,Batting,5.357142857
2010,Delhi Capitals,6s,Batting,4.142857143
2011,Delhi Capitals,6s,Batting,5.357142857
2012,Delhi Capitals,6s,Batting,5.388888889
2013,Delhi Capitals,6s,Batting,3.125
2008,Delhi Capitals,50s,Batting,0.928571429
2009,Delhi Capitals,50s,Batting,0.571428571
2010,Delhi Capitals,50s,Batting,0.785714286
2011,Delhi Capitals,50s,Batting,0.571428571
2012,Delhi Capitals,50s,Batting,0.666666667
2013,Delhi Capitals,50s,Batting,0.5
2008,Delhi Capitals,RunsScored,Batting,141.1428571
2009,Delhi Capitals,RunsScored,Batting,134.8571429
2010,Delhi Capitals,RunsScored,Batting,142.7857143
2011,Delhi Capitals,RunsScored,Batting,133.0714286
2012,Delhi Capitals,RunsScored,Batting,124.7777778
2013,Delhi Capitals,RunsScored,Batting,124.25
2008,Delhi Capitals,BallsFaced,Batting,141.1428571
2009,Delhi Capitals,BallsFaced,Batting,142.5
2010,Delhi Capitals,BallsFaced,Batting,103.6428571
2011,Delhi Capitals,BallsFaced,Batting,105.8571429
2012,Delhi Capitals,BallsFaced,Batting,96.33333333
2013,Delhi Capitals,BallsFaced,Batting,107.75
2008,Delhi Capitals,BowlingEconomy,Bowling,7.431365175
2009,Delhi Capitals,BowlingEconomy,Bowling,7.261538462
2010,Delhi Capitals,BowlingEconomy,Bowling,6.95546277
2011,Delhi Capitals,BowlingEconomy,Bowling,7.730290456
2012,Delhi Capitals,BowlingEconomy,Bowling,6.822600243
2013,Delhi Capitals,BowlingEconomy,Bowling,7.03467799
2008,Delhi Capitals,Matches,Batting,14
2009,Delhi Capitals,Matches,Batting,14
2010,Delhi Capitals,Matches,Batting,14
2011,Delhi Capitals,Matches,Batting,14
2012,Delhi Capitals,Matches,Batting,18
2013,Delhi Capitals,Matches,Batting,16
2008,Delhi Capitals,NotOuts,Batting,1.727272727
2009,Delhi Capitals,NotOuts,Batting,1.909090909
2010,Delhi Capitals,NotOuts,Batting,1.909090909
2011,Delhi Capitals,NotOuts,Batting,1.454545455
2012,Delhi Capitals,NotOuts,Batting,2.363636364
2013,Delhi Capitals,NotOuts,Batting,2.090909091
2008,Delhi Capitals,TotalWickets,Bowling,81
2009,Delhi Capitals,TotalWickets,Bowling,78
2010,Delhi Capitals,TotalWickets,Bowling,72
2011,Delhi Capitals,TotalWickets,Bowling,61
2012,Delhi Capitals,TotalWickets,Bowling,84
2013,Delhi Capitals,TotalWickets,Bowling,66
2008,Delhi Capitals,WicketsPerMatch,Bowling,5.785714286
2009,Delhi Capitals,WicketsPerMatch,Bowling,5.571428571
2010,Delhi Capitals,WicketsPerMatch,Bowling,5.142857143
2011,Delhi Capitals,WicketsPerMatch,Bowling,4.357142857
2012,Delhi Capitals,WicketsPerMatch,Bowling,4.666666667
2013,Delhi Capitals,WicketsPerMatch,Bowling,4.125
2008,Delhi Capitals,WicketsPerOver,Bowling,0.304625799
2009,Delhi Capitals,WicketsPerOver,Bowling,0.3
2010,Delhi Capitals,WicketsPerOver,Bowling,0.250521921
2011,Delhi Capitals,WicketsPerOver,Bowling,0.253112033
2012,Delhi Capitals,WicketsPerOver,Bowling,0.255164034
2013,Delhi Capitals,WicketsPerOver,Bowling,0.233545648
2008,Delhi Capitals,StrikeRate,Batting,127.74
2009,Delhi Capitals,StrikeRate,Batting,125.01
2010,Delhi Capitals,StrikeRate,Batting,121.2
2011,Delhi Capitals,StrikeRate,Batting,124.86
2012,Delhi Capitals,StrikeRate,Batting,130.11
2013,Delhi Capitals,StrikeRate,Batting,112
2017,Gujrat Lions,Matches,Matches,14
